CODE,FREQUENCY,TIME,Value
PRK,A,2014,35.4536
PRK,A,2015,37.78088
PRK,A,2016,32.03953
PRK,A,2017,32.42833
COD,A,1990,44.77945
COD,A,1995,44.56707
COD,A,2000,44.04668
COD,A,2005,42.45341
COD,A,2010,41.43792
COD,A,2011,41.87642
COD,A,2012,43.39882
COD,A,2013,43.3745
COD,A,2014,42.38747
COD,A,2015,44.58291
COD,A,2016,44.08097
COD,A,2017,44.31301
DOM,A,1990,15.54252
DOM,A,1995,15.6155
DOM,A,2000,16.74389
DOM,A,2005,16.88698
DOM,A,2010,16.93567
DOM,A,2011,17.34286
DOM,A,2012,16.22987
DOM,A,2013,15.72911
DOM,A,2014,14.84532
DOM,A,2015,14.86635
DOM,A,2016,14.00529
DOM,A,2017,14.02285
ECU,A,1990,17.95684
ECU,A,1995,18.19059
ECU,A,2000,19.71126
ECU,A,2005,20.85839
ECU,A,2010,20.9653
ECU,A,2011,20.52275
ECU,A,2012,20.84647
ECU,A,2013,19.21701
ECU,A,2014,17.32958
ECU,A,2015,16.83476
ECU,A,2016,16.07391
ECU,A,2017,15.85361
EGY,A,1990,74.88955
EGY,A,1995,73.43587
EGY,A,2000,72.76637
EGY,A,2005,73.39152
EGY,A,2010,77.90224
EGY,A,2011,70.72968
EGY,A,2012,73.48837
EGY,A,2013,77.50645
EGY,A,2014,76.34488
EGY,A,2015,88.30329
EGY,A,2016,85.43856
EGY,A,2017,86.60764
SLV,A,1990,30.76546
SLV,A,1995,31.17654
SLV,A,2000,32.12153
SLV,A,2005,32.34264
SLV,A,2010,31.47073
SLV,A,2011,33.57182
SLV,A,2012,31.4727
SLV,A,2013,31.46898
SLV,A,2014,27.5767
SLV,A,2015,26.81108
SLV,A,2016,24.96931
SLV,A,2017,24.90166
GNQ,A,1990,54.56965
GNQ,A,1995,53.93721
GNQ,A,2000,52.5064
GNQ,A,2005,46.16914
GNQ,A,2010,47.4026
GNQ,A,2011,47.67971
GNQ,A,2012,46.00419
GNQ,A,2013,44.38007
GNQ,A,2014,46.75787
GNQ,A,2015,53.60076
GNQ,A,2016,55.51752
GNQ,A,2017,55.62151
ERI,A,1990,47.06574
ERI,A,1995,46.72321
ERI,A,2000,46.53185
ERI,A,2005,46.00675
ERI,A,2010,45.2112
ERI,A,2011,45.66154
ERI,A,2012,45.91164
ERI,A,2013,46.86994
ERI,A,2014,43.95205
ERI,A,2015,49.07965
ERI,A,2016,48.90531
ERI,A,2017,48.91276
EST,A,1990,7.3848
EST,A,1995,6.96109
EST,A,2000,8.3655
EST,A,2005,8.55189
EST,A,2010,8.64197
EST,A,2011,8.51723
EST,A,2012,7.96305
EST,A,2013,7.54313
EST,A,2014,7.73599
EST,A,2015,7.09232
EST,A,2016,6.88554
EST,A,2017,6.84199
ETH,A,1990,36.13882
ETH,A,1995,35.92009
ETH,A,2000,35.69883
ETH,A,2005,34.50132
ETH,A,2010,35.38721
ETH,A,2011,36.08137
ETH,A,2012,36.2883
ETH,A,2013,36.07312
ETH,A,2014,35.42387
ETH,A,2015,39.24354
ETH,A,2016,38.5493
ETH,A,2017,38.78116
FJI,A,1990,12.65096
FJI,A,1995,12.67583
FJI,A,2000,13.31589
FJI,A,2005,13.31847
FJI,A,2010,13.4154
FJI,A,2011,13.61201
FJI,A,2012,12.94121
FJI,A,2013,12.21048
FJI,A,2014,11.93149
FJI,A,2015,11.6479
FJI,A,2016,10.95927
FJI,A,2017,10.70372
GAB,A,1990,45.9424
GAB,A,1995,45.61684
GAB,A,2000,43.7579
GAB,A,2005,39.70326
GAB,A,2010,41.79869
GAB,A,2011,41.18657
GAB,A,2012,40.78267
GAB,A,2013,41.11295
GAB,A,2014,42.14668
GAB,A,2015,44.10181
GAB,A,2016,45.55615
GAB,A,2017,45.75431
GMB,A,1990,36.39473
GMB,A,1995,36.20177
GMB,A,2000,34.71012
GMB,A,2005,30.36295
GMB,A,2010,30.66437
GMB,A,2011,29.58941
GMB,A,2012,30.9668
GMB,A,2013,29.44482
GMB,A,2014,30.73496
GMB,A,2015,36.98117
GMB,A,2016,33.29927
GMB,A,2017,34.20643
GEO,A,1990,26.97432
GEO,A,1995,25.63277
GEO,A,2000,26.04188
GEO,A,2005,26.11175
GEO,A,2010,26.50124
GEO,A,2011,26.87644
GEO,A,2012,25.25757
GEO,A,2013,24.2029
GEO,A,2014,23.14596
GEO,A,2015,23.94359
GEO,A,2016,22.0455
GEO,A,2017,22.15483
GHA,A,1990,35.43819
GHA,A,1995,35.02599
GHA,A,2000,34.3947
GHA,A,2005,27.62106
GHA,A,2010,27.32013
GHA,A,2011,28.30862
GHA,A,2012,28.705
GHA,A,2013,27.55132
GHA,A,2014,25.77033
GHA,A,2015,34.37018
GHA,A,2016,34.9148
GHA,A,2017,35.07234
GTM,A,1990,30.00882
GTM,A,1995,30.49816
GTM,A,2000,31.3118
GTM,A,2005,31.49118
GTM,A,2010,30.35342
GTM,A,2011,31.9247
GTM,A,2012,30.30728
GTM,A,2013,30.48031
GTM,A,2014,26.71333
GTM,A,2015,25.74937
GTM,A,2016,23.97902
GTM,A,2017,23.97105
GIN,A,1990,24.40209
GIN,A,1995,24.27165
GIN,A,2000,23.72882
GIN,A,2005,22.21645
GIN,A,2010,22.23994
GIN,A,2011,22.46584
GIN,A,2012,22.9692
GIN,A,2013,20.95859
GIN,A,2014,21.09061
GIN,A,2015,25.9645
GIN,A,2016,24.68232
GIN,A,2017,24.81071
GNB,A,1990,31.25509
GNB,A,1995,31.12459
GNB,A,2000,30.19495
GNB,A,2005,26.7217
GNB,A,2010,27.13185
GNB,A,2011,26.62058
GNB,A,2012,26.9839
GNB,A,2013,25.70857
GNB,A,2014,26.23562
GNB,A,2015,32.22759
GNB,A,2016,29.47675
GNB,A,2017,29.96029
HTI,A,1990,15.85471
HTI,A,1995,15.90913
HTI,A,2000,18.7535
HTI,A,2005,18.98151
HTI,A,2010,19.11384
HTI,A,2011,19.6115
HTI,A,2012,18.31094
HTI,A,2013,17.7733
HTI,A,2014,16.78086
HTI,A,2015,16.81293
HTI,A,2016,15.83285
HTI,A,2017,15.84877
HND,A,1990,26.88935
HND,A,1995,27.27068
HND,A,2000,27.53127
HND,A,2005,28.22997
HND,A,2010,27.59931
HND,A,2011,29.61501
HND,A,2012,27.62052
HND,A,2013,27.92041
HND,A,2014,23.80505
